channelId,title,description,customUrl,subscribers,views,videos,hiddenSubscribers,publishedAt,country,defaultLanguage,keywords,uploadsPlaylistId,topics,query
UCUbthbcQT_edTWHEbAnBppg,Saaremaa Muuseum,,@saaremaamuseum,410,45645,53,False,2019-04-30T07:20:40Z,,,,UUUbthbcQT_edTWHEbAnBppg,"https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Knowledge, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",saaremaa
UC8FqHbqtm1XtgEQSe3QWQwg,THElps Shine,"Me, Shinex ja Midny proovime iga kord teile naudingut pakkuda ja naerma ajada! Soovitamegi siis kõige enam videosi meie mõlema poolt, selle jaoks on paljude videode lõpus: -Midny & Shinex. JA mitte ainult LPSid, vaid kõiksugused meile huvi pakkuvad dinosaurused, lohed ja vahel midagi pealekauba. Soovides vahetada/müüa/osta meiega TARTUS, võtke kontakti meiega facebookis. Posti ei usalda, ega hakka ka usaldama. Mina, Shinex loodan edasi anda mõningaid mõtteteru, nagu nt meie 2016 eri avamises! Sa",@thelpsshine3966,22,4144,27,False,2015-08-28T11:30:54Z,,,,UU8FqHbqtm1XtgEQSe3QWQwg,"https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Hobby",proovime
UCROr0G47-LSfJMbuemX6Yjw,Peeter Tooma - Topic,,,201,124994,97,False,2021-11-09T13:14:40.819915Z,,,,UUROr0G47-LSfJMbuemX6Yjw,https://en.wikipedia.org/wiki/Music,eesti rahvamuusika
UCWtShZiWS9I1NH1UYZGgLiw,Noor Meister,"Haridus- ja Noorteameti ellu viidud “Noore Meistri” võistlustel selguvad Eesti parimad noored meistrid, kellest mitmed lähevad Eestit esindama rahvusvahelistele võistlustele EuroSkills ja WorldSkills. Parimate väljaselgitamisel hindavad kohtunikud võistlejate kiirust, täpsust ning omandatud teadmiste ja oskuste rakendamist.

Võistlused annavad pealtvaatajatele võimaluse tutvuda erinevate ametitega ja näha, millise pühendumuse ja oskuslikkusega noored oma tööd teevad!

Saadet tellib Haridus- ja N",@noormeister9366,263,91468,52,False,2019-02-20T09:05:02Z,EE,,,UUWtShZiWS9I1NH1UYZGgLiw,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Television_program, https://en.wikipedia.org/wiki/Hobby, https://en.wikipedia.org/wiki/Entertainment",eesti haridus
UCxHoivKv0roV5EwBTdsa91w,TeemantLps,"Tere lapsed! Mina olen üks 16 aastane nimega Ingel, kellel pole oma eluga mitte midagi paremat teha kui filmida LPS-idega videoid ja neid YouTube postitada. Geniaalne

Ja seda lapsed peate te oma kanali About lehele kirjutama kui teil on liiga väike aju et midagi originaalset välja mõelda

-TeemantLps",@teemantlps3404,7250,2739537,91,False,2014-01-18T08:07:29Z,EE,,"Lps ""Littlest Pet Shop""",UUxHoivKv0roV5EwBTdsa91w,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Hobby",eesti keeles
UColptJi6rmEhgPX3KFaNimw,HMmm,Eesti loodus. Estonian nature.,@hmmm9210,4,557,11,False,2014-02-17T12:06:02Z,EE,et,,UUolptJi6rmEhgPX3KFaNimw,https://en.wikipedia.org/wiki/Lifestyle_(sociology),eesti loodus
UCtylyZRB5-uAbnKiLRN7g3w,narva,,@365narva,1,591,3,False,2022-03-20T11:44:09.959833Z,,,,UUtylyZRB5-uAbnKiLRN7g3w,"https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action_game",narva
UCLGewdn97KKDnD-5gOV6PMQ,DNB Pank,"DNB on Norra pank, nagu ütleb meie nimigi Den Norske Bank. DNB on üks suurimaid finantsgruppe Põhjamaades, mille liikmena soovime olla parim partner oma Eesti klientidele. DNB Pangas on ühendatud väikepanga ambitsioonid ja personaalne lähenemine, kuid suure finantsgrupi võimalused ja teadmised. 

Eestis alustasime Läti DNB Banka filiaalina tegevust 2006. aastal. 2012. aasta septembrist tegutseb DNB Eestis kohaliku krediidiasutuse AS DNB Pangana. DNB pakub Eestis laia valikud finantstooteid nii ä",@dnbnord1,5,42194,7,False,2009-09-09T08:15:09Z,,,DNB pank laen liising,UULGewdn97KKDnD-5gOV6PMQ,,eesti äri
UCSXukN6iE3c10_uDHZavlNQ,Hiiumaa TV,"Hiiumaa elu, inimesed ja uudised liikuvas pildis.",@hiiumaatv,65,1518698,28,False,2022-06-21T14:20:49.675282Z,,,,UUSXukN6iE3c10_uDHZavlNQ,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Tourism",hiiumaa
UCROO7awVqUqtV5cG8x0vhtA,Saaremaa Meedia Stuudio,,@saaremaameediastuudio280,19,5479,30,False,2019-01-15T09:15:01Z,,,,UUROO7awVqUqtV5cG8x0vhtA,https://en.wikipedia.org/wiki/Lifestyle_(sociology),saaremaa
